/	thingshappening.views.index	index	
/admin/	django.contrib.admin.sites.index	admin:index	
/admin/<app_label>/	django.contrib.admin.sites.app_index	admin:app_list	
/admin/auth/group/	django.contrib.admin.options.changelist_view	admin:auth_group_changelist	
/admin/auth/group/<var>/	django.views.generic.base.RedirectView		
/admin/auth/group/<var>/change/	django.contrib.admin.options.change_view	admin:auth_group_change	
/admin/auth/group/<var>/delete/	django.contrib.admin.options.delete_view	admin:auth_group_delete	
/admin/auth/group/<var>/history/	django.contrib.admin.options.history_view	admin:auth_group_history	
/admin/auth/group/add/	django.contrib.admin.options.add_view	admin:auth_group_add	
/admin/jsi18n/	django.contrib.admin.sites.i18n_javascript	admin:jsi18n	
/admin/login/	django.contrib.admin.sites.login	admin:login	
/admin/logout/	django.contrib.admin.sites.logout	admin:logout	
/admin/password_change/	django.contrib.admin.sites.password_change	admin:password_change	
/admin/password_change/done/	django.contrib.admin.sites.password_change_done	admin:password_change_done	
/admin/r/<content_type_id>/<object_id>/	django.contrib.contenttypes.views.shortcut	admin:view_on_site	
/admin/thingshappening/event/	django.contrib.admin.options.changelist_view	admin:thingshappening_event_changelist	
/admin/thingshappening/event/<var>/	django.views.generic.base.RedirectView		
/admin/thingshappening/event/<var>/change/	django.contrib.admin.options.change_view	admin:thingshappening_event_change	
/admin/thingshappening/event/<var>/delete/	django.contrib.admin.options.delete_view	admin:thingshappening_event_delete	
/admin/thingshappening/event/<var>/history/	django.contrib.admin.options.history_view	admin:thingshappening_event_history	
/admin/thingshappening/event/add/	django.contrib.admin.options.add_view	admin:thingshappening_event_add	
/admin/thingshappening/thuser/	django.contrib.admin.options.changelist_view	admin:thingshappening_thuser_changelist	
/admin/thingshappening/thuser/<var>/	django.views.generic.base.RedirectView		
/admin/thingshappening/thuser/<var>/change/	django.contrib.admin.options.change_view	admin:thingshappening_thuser_change	
/admin/thingshappening/thuser/<var>/delete/	django.contrib.admin.options.delete_view	admin:thingshappening_thuser_delete	
/admin/thingshappening/thuser/<var>/history/	django.contrib.admin.options.history_view	admin:thingshappening_thuser_history	
/admin/thingshappening/thuser/<var>/password/	django.contrib.auth.admin.user_change_password	admin:auth_user_password_change	
/admin/thingshappening/thuser/add/	django.contrib.auth.admin.add_view	admin:thingshappening_thuser_add	
/api/	rest_framework.routers.APIRootView	api:api-root	
/api/\.<format>/	rest_framework.routers.APIRootView	api:api-root	
/api/events/	thingshappening.viewsets.EventViewSet	api:event-list	
/api/events/<pk>/	thingshappening.viewsets.EventViewSet	api:event-detail	
/api/events/<pk>\.<format>/	thingshappening.viewsets.EventViewSet	api:event-detail	
/api/events\.<format>/	thingshappening.viewsets.EventViewSet	api:event-list	
/api/users/	thingshappening.viewsets.THUserViewSet	api:thuser-list	
/api/users/<pk>/	thingshappening.viewsets.THUserViewSet	api:thuser-detail	
/api/users/<pk>\.<format>/	thingshappening.viewsets.THUserViewSet	api:thuser-detail	
/api/users\.<format>/	thingshappening.viewsets.THUserViewSet	api:thuser-list	
/calendar_test	django.views.generic.base.TemplateView	calendar_test	
/tvguide_test	django.views.generic.base.TemplateView	tvguide_test	
